Chinese,English
针刺干预卒中后抑郁（PSD）主要涉及 cAMP信号通路、MAPK信号通路、PI3K/Akt/mTOR信号通路、NF-κB信号通路、CREB信号通路，CaMK信号通路。这些信号通路之间形成了多样的调控网络，起到减轻炎症反应，抑制细胞凋亡，提高神经可塑性，促进血管新生，保护神经元等关键作用。,"The signaling pathways involved in acupuncture intervention in post-stroke depression (PSD) mainly include cAMP signaling pathway, MAPK signaling pathway, PI3K/Akt/mTOR signaling pathway, NF-κB signaling pathway, CREB signaling pathway, and CaMK signaling pathway. A variety of regulatory networks are formed between these signaling pathways, which play a key role in reducing inflammation, inhibiting apoptosis, improving neuroplasticity, promoting angiogenesis, and protecting neurons."
目的 比较桑菊饮中药饮片汤剂与配方颗粒的化学组成差异，为桑菊饮的质量评价提供方法。方法 采用 HPLC 法建立桑菊饮传统汤剂和配方颗粒指纹图谱，从化学成分种类、指纹图谱相似度、化学模式识别分析、代表性指标成分含量 4 个方面分析桑菊饮传统汤剂和配方颗粒的化学组成差异。结果 10 批传统汤剂指纹图谱相似度均>0.988，标定出 35 个特征峰，指认其中 12 个共有峰（7号峰为新绿原酸、10号峰为绿原酸、11号峰为隐绿原酸、13号峰为 1，3-二咖啡酰奎宁酸、17号峰为芦丁、19 号峰为连翘酯苷 A、20 号峰为木犀草苷、24 号峰为异绿原酸 B、25 号峰为 3，5-O-二咖啡酰奎宁酸、31 号峰为连翘苷、32 号峰为蒙花苷、35 号峰为甘草酸铵）；配方颗粒指纹图谱相似度均>0.983，标定出 29 个特征峰。与传统汤剂相比，配方颗粒部分批次缺少 14、26、27、30、32、34 号峰，聚类分析、主成分分析、正交偏最小二乘判别分析均可区分二者。传统汤剂中指标性成分新绿原酸、绿原酸、隐绿原酸、1，3-二咖啡酰奎宁酸、连翘酯苷 A、草苷、异绿原酸 B、3，5-O-二咖啡酰奎宁酸、连翘苷、蒙花苷 10 个成分含量高于配方颗粒，配方颗粒中芦丁、甘草酸铵含量高于传统汤剂。结论 桑菊饮配方颗粒与传统饮片汤剂存在成分种类及含量差异。指纹图谱与化学模式识别相结合的方式可有效评价桑菊饮传统汤剂与配方颗粒差异，为桑菊饮配方颗粒质量控制及临床合理应用奠定基础。,"Objective　To compare the chemical composition of decoction and granules of Sangju Decoction; To provide a method for quality evaluation of Sangju Decoction. Methods　HPLC was used to establish fingerprints, and a comprehensive comparative study was conducted on the traditional decoction and formula granules of Sangju Decoction from four aspects: chemical composition type, fingerprint similarity, chemical pattern recognition analysis, and representative index component content. Results　 The fingerprint similarity of the 10 batches of traditional decoction was >0.988. 35 peaks were identified and 12 peaks were identified as common peaks (neochlorogenic acid for peak 7, chlorogenic acid for peak 10, cryptochlorogenic acid for peak 11, 1, 3-dicaffeoylquinic acid for peak 13, rutin for peak 17, lenoside A for peak 19, lignan for peak 20, isochlorogenic acid B for peak 24, ammonium glycyrrhizate for peak 25). The fingerprint similarity of the formulation pellets was >0.983, and 29 characteristic peaks were identified. Compared with the traditional decoction, some batches of the granules lacked peaks 14, 26, 27, 30, 32 and 34, and clustering analysis (CA), principal component analysis (PCA), and orthogonal partial least squares discriminant analysis (OPLS-DA) could distinguish between the two. The contents of the 10 index components neochlorogenic acid, chlorogenic acid, cryptochlorogenic acid, 1,3-dicaffeoylquinic acid, forsythia ester glycoside A, grass glycosides, isochlorogenic acid B, 3, 5-O-dicaffeoylquinic acid, forsythia glycosides, monkshood glycosides in the traditional soup were higher than that in the granules, and the contents of rutin and ammonium glycyrrhizate in the granules were higher than that in traditional decoction. Conclusions　 The content and composition of traditional decoction and formula granules of Sangju Decoction are significantly different. The combination of fingerprinting and chemical pattern identification effectively can effectively evaluate the difference between traditional decoction and formula granules of Sangju Decoction, which can lay a foundation for the quality control and rational clinical application of formula granules of Sangju Decoction."
目的 运用网络药理学筛选芍藤方治疗干燥综合征的活性成分、靶基因及信号通路，并进行相关实验验证，探索芍藤方治疗干燥综合征的作用机制。方法 通过检索 TCMSP 收集芍藤方组方药物的活性成分和作用靶点，通过 GeneCards数据库收集干燥综合征的靶基因，运用 Venn获得药物与疾病的交集靶点，将交集靶点导入 STRING 数据库构建 PPI 网络，采用 Cytospace 3.7.2 软件构建“药物-活性成分-治疗靶点-疾病”网络，利用 DAVID 数据库进行 GO 功能和 KEGG 通路富集分析。将 18 只 NOD 小鼠采用随机数字表法分为模型组、中药组、羟氯喹组，每组 6 只，另设 6 只 Balb/C 小鼠为正常对照组。中药组灌胃芍藤方 2.3 g/kg，羟氯喹组灌胃羟氯喹 60 mg/kg，模型组和正常对照组灌胃等体积去离子水，1 次/d，连续灌胃 4 周。记录给药期间各组小鼠日常饮水量，采用 HE 染色观察颌下腺组织的病理变化，采用 ELISA 法测定血清炎症因子 IL-17 和 TNF-α 水平。结果 获得芍藤方主要活性成分 39 个，干燥综合征 1 062 个靶点，得到药物与疾病的交集靶点 64 个，包括 TNF、IL6、NCOA1、AKT1、TP53 等。芍藤方治疗干燥综合征靶点主要影响对细菌的反应、细胞对脂质的反应等生物过程，调控 TNF-α 通路、IL-17 信号通路等。实验结果显示，中药组 TNF-α、IL-17 水平较模型组降低（P<0.05）。结论 芍藤方可通过调节 IL-17、TNF-α 信号通路，抑制炎症，延缓颌下腺损伤，缓解干燥综合征症状。,"Objective　To screen the active components, target genes and signaling pathways of Shaoteng Decoction in the treatment of Sjogren's syndrome by network pharmacology; To conduct relevant experimental verification to explore the mechanism of action of Shaoteng Decoction in the treatment of Sjogren's syndrome. Methods　The active components and targets of Shaoteng Decoction were collected by retrieving TCMSP. The target genes of Sjogren's syndrome were collected through the GeneCards database. The intersection targets of drugs and diseases were obtained by using Venn. The intersection targets were imported into the STRING database to obtain PPI networks, and the ""drug-active component -therapeutic target-disease"" network was constructed by Cytospace 3.7.2 software. The DAVID database was used for GO function enrichment analysis and KEGG pathway analysis. The 18 NOD mice were divided into model group, TCM group, hydroxychloroquine group, with 6 mice in each group, and 6 Balb/C mice were set as normal control group. TCM group was gavaged with 2.3 g/kg of Shaoteng Decoction, hydroxychloroquine group was gavaged with 60 mg/kg of hydroxychloroquine, and model group and normal control group were gavaged with equal volume of deionized water once a day for 4 consecutive weeks. The daily water intake of mice during the administration period was recorded, the pathological changes of submandibular gland tissue were observed by HE staining, and the levels of serum inflammatory factors IL-17 and TNF-α were determined by ELISA method. Results　39 main active components of Shaoteng Decoction, 1 062 targets of Sjogren's syndrome, and 64 targets of drug and disease intersection were obtained, including TNF, IL6, NCOA1, AKT1, TP53, etc. The treatment targets of Sjogren's syndrome mainly affected biological processes such as response to bacterium and cellular response to lipid, and regulated TNF- α pathway and IL-17 signaling pathway. The experimental results showed that the levels of TNF-α and IL-17 in the TCM group were lower than those in the model group (P<0.05). Conclusion　 Shaoteng Decoction can regulate IL-17 and TNF- α signaling pathways, inhibit inflammation, delay submandibular gland disruption, and alleviate the symptoms of Sjogren's syndrome."
女性宫颈癌的发生与高危型人乳头瘤病毒（HPV）感染关系密切，及时有效地阻断高危型 HPV 感染对预防宫颈癌的发生有重要意义。黄元御的“一气周流”理论思想崇尚中土，注重整体气机的调畅，可阐释女性的生理病理。而高危型 HPV 感染的发生与中焦脾土失运，气机周流不畅，机体抗邪能力低下致清浊升降失常有关。基于“一气周流”理论结合“治未病”思想，笔者提出“未病先防，调畅中土存正气”“既病防变，升降相因祛毒邪”“瘥后防复，阴阳平衡和气血”的高危型 HPV 感染的防治原则，以期为临床治疗提供参考。,"The occurrence of cervical cancer in women is closely related to high-risk HPV infection, and timely and effective interruption of high-risk HPV infection is of great significance to prevent the occurrence of cervical cancer. Huang Yuanyou's theory of ""circular flow of Qi"" emphasizes on the harmonization of the overall Qi flow, which can explain the physiopathology of women. The occurrence of high-risk HPV infection is related to the loss of spleen and earth transportation in the middle Jiao, poor circulation of Qi, and the low resistance of the body to evil, resulting in the malfunctioning of clear and turbid. Based on the theory of ""circular flow of Qi"" combined with the idea of ""prevention treatment of disease"", the author proposes to ""prevent the disease before it occurs, regulate the middle earth to preserve the correct Qi"" and ""prevent the disease before it occurs"". The principles of prevention and treatment of high-risk HPV infection are ""prevent before the disease, regulate the middle earth to preserve the righteousness"", ""promote and descend to dispel the poisonous evil"", and ""prevent recurrence after the disease, balance yin and yang and harmonize Qi and blood"", in order to provide reference for clinical treatment."
中医传统功法是中医防治疾病的重要手段，可通过外调骨骼肌肉、内调身心脏腑，促进血液循环、改善睡眠障碍、提升代谢和免疫能力，达到防病治病、延长寿命、强身健体的目的，在治疗慢性疲劳综合征、运动性疲劳、卒中后疲劳、癌因性疲劳等各类疲劳方面疗效显著。,"TCM functional exercises are the important means of TCM to prevent and cure diseases. By adjusting the bones and muscles externally, adjusting the heart and organs internally, promoting blood circulation, improving sleep disorders, enhancing metabolism and immune capacity, the aim of preventing and treating diseases, prolonging life span, and strengthening the body is achieved. TCM exercises have a significant effect on the treatment of various types of fatigue such as chronic fatigue syndrome, Exercise-induced fatigue, post-stroke fatigue, and cancer-related fatigue."
“四位一体”是基于“性、位、势、证”四维角度的研究思路，有助于多维度、立体化地辨识分析经方。慢性心力衰竭（CHF）病机为心气心阳亏虚、三焦气化失司日久，后期由虚向实进展可见虚实夹杂。茯苓桂枝白术甘草汤（简称“苓桂术甘汤”）通过“性、位、势、证”四位发挥作用：方性为辛甘而温，淡甘兼苦，辛甘温以化气利水、扶阳涤饮，淡苦以渗水燥湿、通利水道；方位为心、脾、三焦，可鼓舞心阳、健脾蠲饮、通调三焦水道；方势为上下并行、内外兼修、通上利下、宣外补内，则三焦水道借势通达；方证为心阳亏虚、水饮泛滥痰饮证，治疗水气上冲性心脏病应用为多。三焦失司与 CHF 反复发作互为因果，苓桂术甘汤可暖三焦气化之火、通三焦气化之道，针对 CHF 的全身性水液潴留发挥作用；其药理作用有抗炎、抗血小板聚集、调节心肌细胞膜离子通道、抗缺血再灌注损伤、调控血管舒缩等。从“四位一体”的角度解构苓桂术甘汤，并结合“三焦气化”理论探讨苓桂术甘汤治疗 CHF 机制，对重新焕发经方生命力及精准有效应用经方具有重要意义。,"The ""four-in-one"" approach is based on the four-dimensional perspective of ""property, position, tendency and syndrome"", which helps to identify and analyze classical prescriptions in a multi-dimensional and three-dimensional way. The early pathogenesis of chronic heart failure (CHF) is deficiency of heart Qi and heart Yang and disorder in Qi transformation in triple energizer, while in the later stage of the disease, it progresses from deficiency to excess, with simultaneous occurrence of deficiency and excess syndromes. Fuling Guizhi Baizhu Gancao Decoction (Linggui Zhugan Decoction) plays its role in treating chronic heart failure by the four elements of ""property, position, tendency and syndrome"". Property—Linggui Zhugan Decoction is pungent, sweet, slight sweet and bitter in flavor, but warm in property. The sweet is able to tonify deficiency; the pungent is responsible for dispersing Yang, promoting Qi and draining water retention; the warm nourishes the spleen, raises Yang Qi and resolves phlegm; the bitter could excrete diuresis and dry dampness to guarantee the smooth operation of three energizer. Position-Linggui Zhugan Decoction acts on the heart, spleen and triple energizer. It can stimulate heart Yang, strengthen the spleen, resolve phlegm, and regulate the waterways to promote the Qi transformation in triple energizer. Tendency-The tendency of Linggui Zhugan Decoction is upward and downward in parallel, both internal and external. Warming up and promoting diuresis, raising Yang up and tonifying deficiency, it is conducive to the Yang Qi transformation in triple energizer. Syndrome-Linggui Zhugan Decoction is indicated for the syndrome of heart Yang deficiency and water-fluid retention, which begins with the upper abdomen swelling, Qi rushes against the chest. It is widely used in the treatment of water-vapor impulse heart disease. The disorder of Qi transformation in triple energizer is the main mechanism of recurrent CHF. Linggui Zhugan Decoction can not only warm the fire of Qi transformation in triple energizer, but also smooth the pathway of Qi transformation in triple energizer, which is compatible with the treatment of systemic fluid retention in chronic heart failure. Its pharmacological mechanisms include anti-inflammation, anti-platelet aggregation, regulation of cardiomyocyte cell membrane ion channels, protection against ischemia-reperfusion injury and modulation of vasodilation, etc. Deconstructing Linggui Zhugan Decoction with ""four-in-one"" approach and discussing its mechanism for treating CHF in combination with the theory of ""Qi transformation in triple energizer"", have great significance to rejuvenate the vitality of classical prescriptions and to apply them accurately and effectively."
目的 基于数据挖掘技术探讨《王旭高临证医案》治疗痰饮病的组方思路，分析王旭高辨治痰饮病的用药规律。方法 以《王旭高临证医案》所载《痰饮》《痰喘》《肝风痰火》篇章的医案建立数据库，采用 Excel 2017 软件对所有中药进行频次及性味、归经分析，对频次≥10 的中药则采用 IBM SPSS Modeler 18 软件进行基于 Apriori算法的关联规则分析、采用 SPSS 25.0 软件进行基于 Ochiai算法的聚类分析。结果 共纳入医案 80 个，涉及处方 114 首，包含中药 191 味，高频用药主要有茯苓、半夏、陈皮、白术、苦杏仁等；王旭高治疗痰饮病用药药性主要以温性为主，其次为寒性、平性，药味以甘、苦、辛为主，归经主要归肺、脾、胃、肝、肾经；关联规则分析得到款冬花-苦杏仁、半夏-干姜、钩藤-石决明等核心药对；聚类分析得到 8组核心药物组合。结论 王旭高辨治痰饮病时，注重多脏腑同治以协调脏腑间平衡，重视痰饮病兼夹寒、火、	湿邪等复杂性病因，注重顾扶正气以退却邪气，调畅三焦以疏通气机。多以三焦同治、通阳化痰、清肝息风为法，用药治以甘温，佐以苦辛。,"Objective　 To explore the prescription ideas of treating phlegm-drinking disease in Wang Xugao Lin Zheng Yi An; To analyze the medication law of Wang Xugao's clinical treatment of phlegm-drinking disease. Methods　 The database was established based on the medical records of the chapter of phlegm, fluid retention and liver wind and phlegm fire contained in Wang Xugao Lin Zheng Yi An. Excel 2017 software was used to analyze the frequency, taste and meridian tropism of all Chinese materia medica. For Chinese materia medica with frequency≥10, IBM SPSS Modeler 18 software was used to analyze the association rules based on Apriori algorithm, and SPSS 25.0 software was used for cluster analysis based on Ochiai algorithm. Results　A total of 80 medical cases were included, involving 114 prescriptions, including 191 flavors of Chinese materia medica . High-frequency Chinese materia medica mainly included Poria, Pinelliae Rhizoma, Citri Reticulatae Pericarpium, Atractylodis Macrocephalae Rhizoma and Armeniacae Semen Amarum, etc. The main properties in Wang Xugao's medication for the treatment of phlegm-drink disease were warm, followed by cold and mild. The main tastes were sweet, bitter and pungent. Drugs mainly belong to the lung meridian and spleen, stomach, liver, kidney meridians; several core medicinal pairs were obtained, such as Farfarae Flos - Armeniacae Semen Amarum, Pinelliae Rhizoma - Zingiberis Rhizoma, Uncariae Ramulus cum Uncis - Haliotidis Concha, etc. Eight groups of core drug combinations could be sorted out by clustering analysis. Conclusions　In the treatment of phlegm-drinking disease, Wang Xugao paid attention to the simultaneous treatment of multiple viscera to coordinate the balance between the viscera, emphasized the complex etiology of phlegm-drinking disease combined with cold, fire and dampness, attached importance to the treatment of healthy qi to retreat pathogens, the regulation of three-energizer to regulate qi flow. The treatment of three-energizer, promoting yang and reducing phlegm, clearing liver and dispelling wind are the main methods. Medication mainly chooses properties of sweet and warm, with bitter and pungent."
目的 通过数据挖掘分析治疗小儿癫痫古方的用药特点，总结用药配伍规律，为临床对癫痫的中药治疗选择与相关成药开发提供参考。方法 从中国中医科学院中医药信息研究所的中医方剂数据库中筛选治疗小儿癫痫的古方。采用 Excel 2013对纳入方剂中的中药及其性味归经进行频次分析；采用 R 3.6.3 的 arules 包，基于 Apriori 算法进行关联分析；采用 R 3.6.3 的 sankey 包及 ggraph 包绘制高频中药的性味归经所属及关联规则相关网络，实现数据可视化。结果 共纳入处方 360首，剂型以丸剂为主；处方多由 1～10 味中药组成，共 192 首（53.33%，192/360）；共涉及中药 152 味，使用较多的中药有甘草、麝香、防风、天麻、附子。高频用药（频次≥30）药性以温、平为主；药味以辛、苦、甘为主；归经以归脾、肝经为主。关联分析结果显示，常用的二联用药有牛黄-麝香、人参-茯苓、防风-甘草；常用的三联用药有天麻-附子-僵蚕、茯苓-甘草-人参、麝香-牛黄-雄黄。结论 治疗小儿癫痫的古方以平肝息风药、开窍药和补益药为主，核心组方思路主要为化痰息风、温经通阳、开窍止痉、清热开郁和益气和血。,"Objective　To analyze the medication characteristics of ancient prescriptions for pediatric epilepsy (PE) through data mining; To summarize the compatibility law; To provide a reference for the treatment selection of Chinese materia medica and the development of patent drugs related to PE in clinic. Methods　Those with definite composition, dosage and efficacy for the treatment of PE was screened from the data of TCM prescription designed by Institute of Traditional Chinese Medicine Information, China Academy of Traditional Chinese Medicine. Excel 2013 was used to analyze the frequency of Chinese materia medica and its flavor and meridian tropism in the included prescriptions. The arules package in R 3.6.3 was used for association analysis based on Apriori algorithm. The sankey package and ggraph package of R 3.6.3 were used to draw the network diagram of the property, taste, meridian tropism and association rules of high-frequency Chinese medicine, so as to realize data visualization. Results　A total of 360 ancient prescriptions for the treatment of PE were included, and the dosage form was mainly pills. Most of the prescriptions were composed of 1 to 10 kinds of Chinese materia medica, with a total of 192 (53.33%, 192/360) prescriptions. 152 kinds of Chinese materia medica were included. The most commonly used types of Chinese materia medica were Glycyrrhizae Radix et Rhizoma, Moschus, Saposhnikoviae Radix, Gastrodiae Rhizoma, and Aconiti Lateralis Radix Praeparata. The properties of high-frequency Chinese materia medica (frequency≥30) were characterized by warm and mild, and the tastes were mainly pungent, bitter and sweet, and the meridians were mainly spleen and liver meridians. Through Apriori association analysis, the commonly used combination drugs were Bovis Calculus-Moschus, Ginseng Radix et Rhizoma-Poria and Saposheikovize Radix-Glycyrrhizae Radix et Rhizoma. Similarly, the commonly used triple drugs included Gastrodiae Rhizoma-Aconiti Lateralis Radix Praeparata-Bombyx Batryticatus, Poria-Glycyrrhizae Radix et Rhizoma-Ginseng Radix et Rhizoma, and Moschus-Bovis Calculus-Realgar. Conclusions　The ancient prescriptions for the treatment of PE is mainly composed of wind-calming, resuscitation and tonifying drug. The core prescription ideas of the ancient prescriptions are as follows: dispelling phlegm and dispelling wind, warming the meridian and dispelling yang, resuscitating and relieving spasms, clearing heat and reducing depression, and tonifying qi and blood."
尿毒症瘙痒（UP）是终末期肾脏病患者常见并发症，严重降低患者生活质量。中医外治法治疗 UP 相较于中药内治法操作简便、起效迅速，且能避免口服药物所致首关效应及可能带来肝肾损伤，治疗手段主要包括中药外洗、药浴、熏洗、湿敷、灌肠、刮痧、针刺、耳穴贴压、穴位敷贴、穴位离子导入、自体血穴位注射等。目前，多数研究在西医常规治疗基础上加用中医外治法，可提高疗效，在改善瘙痒症状、炎症指标、睡眠质量及焦虑抑郁状态等方面具有一定优势；一些研究选取甲状旁腺激素、血磷、CRP、IL-6、组胺、SCr、BUN、β2-微球蛋白等指标评价疗效，结果提示中医外治法可改善患者微炎症状态，保护肾功能，但其作用机制有待进一步研究。现有研究存在以下问题：临床疗效评价量表不统一，难以横向比较和总结；瘙痒症状的缓解依据量表评判，主观性较强；研究疗程较短，无法评判远期疗效和安全性；部分研究未指明患者证型，难以体现中医辨证论治优势等，今后还需完善。,"Uremic pruritus (UP) is a common complication in patients with end-stage renal disease, which seriously reduces the quality of life of patients. Compared with the internal treatment of TCM, the external treatment of TCM for UP is simpler and more effective, and can avoid the first pass effect caused by oral drugs and may cause liver and kidney damage. The treatment methods mainly include external washing of TCM, medicated bath, fumigation, wet compress, enema, scraping, acupuncture, auricular point sticking, acupoint application, acupoint iontophoresis, autologous blood acupoint injection and so on. At present, most studies are based on the conventional treatment of Western medicine, and the addition of external treatment of TCM can improve the efficacy, and has certain advantages in improving itching symptoms, inflammatory indicators, sleep quality, anxiety and depression. Some studies have selected parathyroid hormone, blood phosphorus, CRP, IL-6, histamine, SCr, BUN, β2-microglobulin and other indicators to evaluate the efficacy. The results suggest that external treatment of TCM can improve the micro-inflammatory state of patients and protect renal function, but further mechanism research is needed. The existing research has the following problems: the clinical efficacy evaluation scale is not uniform, and it is difficult to compare and summarize horizontally; the relief of pruritus symptoms is based on the scale evaluation, which is subjective; the course of treatment is short, and the long-term efficacy and safety can not be evaluated; some studies do not specify the patients' syndrome type, which is difficult to reflect the advantages of TCM syndrome differentiation and treatment, and needed to be improved in the future."
通过挖掘醒脑开窍理论的核心思想，分析醒脑开窍理论与中医脑病的关系，探究针灸辨治中医脑病的必要性，以明晰针灸脑病当如何辨证论治。“醒脑开窍”是调神理论的核心，是立足于醒脑、醒神、调神的原则而确立，其调神思想与中医脑病证治密不可分。基于针灸疗法的特色及中医脑病的复杂性和特殊性，针灸治疗脑病理应有其独特的辨证论治体系。针灸实践过程中，中医脑病证治当以“脑”为本，以“醒神调神”为总治则，在“醒脑开窍针法”主穴基础上化裁，针对不同脑病配合相应的治法。,"By exploring the core ideas of the ""Xingnao Kaiqiao"" theory, analyzing the relationship between the ""Xingnao Kaiqiao"" theory and the TCM encephalopathy, and exploring the necessity of acupuncture for the treatment of TCM encephalopathy, in order to clarify how to diagnose and treat brain diseases in acupuncture and moxibustion. The ""Xingnao Kaiqiao"" is the core of the theory of the ""Tiaoshen"", the acupuncture of ""Xingnao Kaiqiao"" was based on the principle of ""Xingnao"",""Xingshen"" and ""Tiaoshen"", the idea of the ""Tiaoshen"" was inseparable from the diagnosis and treatment of the TCM encephalopathy. Based on the special features of acupuncture therapy and complexity and particularity of TCM encephalopathy, acupuncture and moxibustion treatment of encephalopathy was supposed to have their own unique system of syndrome differentiation and treatment. During the practice of acupuncture, the diagnosis and treatment of TCM encephalopathy should be based on ""brain"", ""Xingnao Tiaoshen"" as a general rule, adding and subtracting from the main points of the ""Xingnao Kaiqiao"", and the different brain diseases are matched with appropriate treatments."
