Chinese term,English term,Synonyms,Chinese synonyms
阴阳,Yin–yang,,
阴,Yin,,
阳,Yang,,
阴气,Yin qi,,
阳气,Yang qi,,
阴阳交感,Yin and yang mutually interact,Yin–yang intertwining; yin–yang resonance,阴阳相错
阴阳相反,Yin and yang mutually oppose,,
阴阳相成,Yin and yang mutually support,,
阴阳互根,Yin and yang reciprocally root,Yin–yang interdependence,
阴阳消长,Yin and yang wax and wane,,
阴阳转化,Yin and yang mutually transform,,
重阴必阳,Extreme yin transforming into yang,,
重阳必阴,Extreme yang transforming into yin,,
阴平阳秘,Balance between yin and yang,Balanced yin with contained yang,
阴阳自和,Spontaneous harmonization between yin and yang,,
孤阴不生,Yin alone cannot be generated,,
独阳不长,Yang alone cannot grow,Solitary yang failing to grow,
阴中之阴,Yin within yin,,
阴中之阳,Yang within yin,,
阳中之阳,Yang within yang,,
阳中之阴,Yin within yang,,
阳生阴长,Yang germinates and yin grows,,
阳杀阴藏,Yang kills and yin stores,,
三阴三阳,Three yin and three yang,,
五行,Five elements,Five phases,
曲直,Wood is characterized by bending and straightening,,
炎上,Fire is characterized by flaming upward,,
土爰稼穑,Earth is characterized by sowing and reaping,,
从革,Metal is characterized by yielding and changing,,
润下,Water is characterized by moistening and descending,,
五行相生,The five elements mutually generate,Mutual generation among the five elements,
五行相克,The five elements mutually restrain,Mutual controlling among the five elements,
五行制化,The five elements mutually control and transform,,
五行胜复,The five elements overcome and retaliate,,
五行相乘,The five elements mutually over-restrain one another,Overacting among the five elements,
五行相侮,The five elements mutually counter- restrain one another,Reverse restraining/ insulting among the five elements,
母气,Mother qi,,
子气,Child qi,,
母病及子,Mother passing illness to child,,
子病犯母,Child’s illness affects the mother,Child stealing the mother’s qi,子盗母气
五方,Five directions,Five bearings,
长夏,Late summer,,
五时,Five seasons,,
五气,Five qi,,
五化,Five transformations,,
五色,Five colours,,
五味,Five flavours,,
五音,Five notes,Five tones,
藏象,Zang–xiang,Visceral manifestations,
脏腑,Zang–fu,,
五脏,Five zang organs,,
六腑,Six fu organs,,
奇恒之腑,Extraordinary fu organs,,
脏腑相合,Zang–fu organs mutually interconnect,,
五脏所藏,Storage of the five zang organs,,
五脏所主,Governance of the five zang organs,,
五脏化液,Fluids of the five zang organs,,
五脏外华,Lustres of the five zang organs,,
五脏开窍,Opening of the five zang organs,,
五脏在志,Emotions of the five zang organs,,
五脏所恶,Dislikes of the five zang organs,,
心气,Heart qi,,
心血,Heart blood,,
心阴,Heart yin,,
心阳,Heart yang,,
心系,Heart system,Heart connections,
生之本,Foundation of life,,
君主之官,The monarch organ,The office of monarch,
心主神明,The heart governs the bright spirit,The heart governs spirit and/or mind The heart governs mental activities,心主神志；心藏神
心主血脉,The heart governs the blood and vessels,,
心其华在面,The lustre of the heart shows in the face,The lustre of the heart shows in complexion,
心开窍于舌,The heart opens into the tongue,,
舌为心之苗,The tongue is the expression of the heart,,
心在液为汗,The fluid of the heart is sweat,,
心在体合脉,The vessels are the tissue of the heart,,
心在志为喜,The emotion of the heart is joy,,
心恶热,The heart dislikes heat,,
心合小肠,The pairing between the heart and small intestine,,
心包,Pericardium,The pericardium connections,心包络
心肾相交,Coordination between the heart and the kidney,Coordination between water and fire/harmony; between the heart and the kidney,水火既济
心肾不交,Disharmony between the heart and the kidney,Lack of coordination between water and fire,水火不济
肺气,Lung qi,,
肺阴,Lung yin,,
肺阳,Lung yang,,
肺系,Lung system,Lung connections,
气之本,Foundation of qi,,
相傅之官,The prime minister organ,The office of the prime minister,
肺主气,The lung governs qi,,
肺司呼吸,The lung governs breathing,,
肺主宣发,The lung governs upward and outward diffusion,,
肺主肃降,The lung governs descent and purification,,
肺主行水,The lung governs water circulation,,
水之上源,Upper source of water,,
肺主通调水道,The lung regulates waterways,,
肺朝百脉,The lung presides over the hundred vessels,,
肺主治节,The lung governs management and regulation,,
肺主皮毛,The lung governs the skin and body hair,The lung is connected with the skin and body hair,肺合皮毛
肺在体合皮,The outer aspect of the lung is the skin,,
肺其华在毛,The lustre of the lung shows in the body hair,,
肺开窍于鼻,The lung opens into the nose,,
肺在志为悲,The emotion of the lung is grief,,
肺在液为涕,The fluid of the lung is nasal discharge,,
肺藏魄,The Lung stores the Corporeal Soul (Po),,
肺恶寒,The lung dislikes cold,,
肺合大肠,The pairing between the lung and large intestine,,
脾气,Spleen qi,,
脾阴,Spleen yin,,
脾阳,Spleen yang,,
脾系,Spleen system,Spleen connections,
后天之本,Postnatal foundation,,
仓廪之官,The granary organ,The office of the granaries,
脾主运化,The spleen governs transportation and transformation,,
脾主统血,The spleen contains blood,The spleen holds blood,
脾主升清,The spleen ascends the nutrients,,
脾主四肢,The spleen governs the limbs,,
脾主肌肉,The spleen governs muscles,,
脾主四时,The spleen governs the four seasons,,
脾其华在唇,The lustre of the spleen shows in the lips,,
脾开窍于口,The spleen opens into the mouth,,
脾在志为思,The emotion of the spleen is overthinking,,
脾在液为涎,The fluid of the spleen is thin saliva,,
脾藏意,The spleen stores intent,,
脾恶🗎,The spleen dislikes dampness,,
脾合胃,The pairing between the spleen and stomach,,
肝气,Liver qi,,
肝血,Liver blood,,
肝阴,Liver yin,,
肝阳,Liver yang,,
肝系,Liver system,Liver connections,
罢极之本,The liver is the foundation for fatigue endurance,,
将军之官,The general organ,The office of army generals,
肝主疏泄,The liver governs the free flow of qi,,
肝主谋虑,The liver governs strategic planning,The liver controls planning,
肝藏血,The liver stores blood,,
肝主升发,The liver governs ascending and dispersing,,
肝为刚脏,The liver is the resolute organ,,
肝喜条达而恶抑郁,The liver likes free will and hates to be suppressed,,
肝在志为怒,The emotion of the liver is anger,,
肝在体合筋,The tissue of the liver is sinew,,
爪为筋之余,Nails are the extension of sinews,,
肝其华在爪,The lustre of the liver shows in the nails,,
肝开窍于目,The liver opens into the eyes,,
肝在液为泪,The fluid of the liver are tears,,
肝藏魂,The liver stores the Ethereal Soul (Hun),,
肝恶风,The liver dislikes wind,,
肝合胆,The pairing between the liver and gallbladder,,
体阴而用阳,Yin organ with yang functions,,
肝肾同源,Liver and kidney share the same source,Yi (liver) and Gui (kidney) share the same source,乙癸同源
肾精,Kidney essence,,
肾气,Kidney qi,,
肾阴,Kidney yin,Primordial yin; genuine yin,元阴；真阴
肾阳,Kidney yang,Primordial yang; genuine yang,元阳；真阳
肾系,Kidney system,Kidney connections,
先天之本,Congenital foundation,Innate root,
封藏之本,The foundation of sealing and storing,,
作强之官,The organ of strenuous work,The office of strenuous work,
肾藏精,The kidney stores essence,,
肾主生殖,The kidney governs reproduction,,
天癸,Tian Gui,Heavenly water,
肾主纳气,The kidney governs qi reception,,
