WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
1,1 Fundamentals of traditional Chinese medicine,一、中医基础理论术语,null,null,null,null
2,1.1 Yin/Yang,1.1 阴阳类,null,null,null,null
3,Yin–yang,阴阳,yīn yáng,null,A concept defined as the opposing but complementary qualities of interrelated entities/ phenomena in the natural world.,null
4,Yin,阴,yīn,null,"Yin is the opposite of yang. The qualities of yin include cold/cool, dimness, descending, stillness, introversion, heaviness, etc.",null
5,Yang,阳,yáng,null,"Yang is the opposite of yin. The qualities of yang include warm/hot, bright, ascending, movement, extroversion, light, clearness, etc.",null
6,Yin qi,阴气,yīn qì,null,"Yin qi is the opposite of yang qi. The qualities of yin qi include condensation, moistening, inhibition, etc.",null
7,Yang qi,阳气,yáng qì,null,"Yang qi is the opposite of yin qi. The qualities of yang qi include warming, activating, excitation, etc.",null
8,Yin and yang mutually interact,阴阳交感,yīn yáng jiāo gǎn,Yin–yang intertwining; yin–yang resonance,Yin and yang mutually affect and interact with one another.,阴阳相错
9,Yin and yang mutually oppose,阴阳相反,yīn yáng xiāng fǎn,null,Yin and yang mutually oppose and restrain one another.,null
10,Yin and yang mutually support,阴阳相成,yīn yáng xiāng chéng,null,Yin and yang mutually support one another.,null
1,null,null,null,null,null,null
11,Yin and yang reciprocally root,阴阳互根,yīn yáng hù gēn,Yin–yang interdependence,Yin and yang have reciprocal roots and cannot be separated.,null
12,Yin and yang wax and wane,阴阳消长,yīn yáng xiāo zhǎng,null,Dynamic waxing and waning between yin and yang.,null
13,Yin and yang mutually transform,阴阳转化,yīn yáng zhuǎn huà,null,"Under certain circumstances, yin may transform into yang and yang into yin.",null
14,Extreme yin transforming into yang,重阴必阳,zhòng yīn bì yáng,null,"When yin develops to its extremity, it will transform into yang.",null
15,Extreme yang transforming into yin,重阳必阴,zhòng yáng bì yīn,null,"When yang develops to its extremity, it will transform into yin.",null
16,Balance between yin and yang,阴平阳秘,yīn píng yáng mì,Balanced yin with contained yang,"A harmonious state between yin and yang, when yin qi is in balance and yang qi is secured within the body.",null
17,Spontaneous harmonization between yin and yang,阴阳自和,yīn yáng zì hé,null,The tendency for yin and yang to spontaneously and mutually harmonize.,null
18,Yin alone cannot be generated,孤阴不生,gū yīn bù shēng,null,"Without yang, yin cannot come into being.",null
19,Yang alone cannot grow,独阳不长,dú yáng bù zhǎng,Solitary yang failing to grow,"Without yin, yang cannot grow and develop.",null
20,Yin within yin,阴中之阴,yīn zhōng zhī yīn,null,"When yin is further divided into yin and yang, the yin aspect of yin is called yin within yin.",null
21,Yang within yin,阴中之阳,yīn zhōng zhī yáng,null,"When yin is further divided into yin and yang, the yang aspect of yin is called yang within yin.",null
22,Yang within yang,阳中之阳,yáng zhōng zhī yáng,null,"When yang is further divided into yin and yang, the yang aspect of yang is called yang within yang.",null
23,Yin within yang,阳中之阴,yáng zhōng zhī yīn,null,"When yang is further divided into yin and yang, the yin aspect of yang is called yin within yang.",null
24,Yang germinates and yin grows,阳生阴长,yáng shēng yīn zhǎng,null,"When yang qi brings things to life, yin qi grows and enables endurance.",null
25,Yang kills and yin stores,阳杀阴藏,yáng shā yīn cáng,null,"In regard to the changing seasons, it is the nature of yang to kill and break things down and the nature of yin to store.",null
26,Three yin and three yang,三阴三阳,sān yīn sān yáng,null,"A collective term for Jueyin, Shaoyin and Taiyin; Shaoyang, Yangming and Taiyang.",null
27,1.2 The five elements,1.2 五行类,null,null,null,null
28,Five elements,五行,wǔ xíng,Five phases,"The interactions and changes among the five categories of phenomena represented by wood, fire, earth, metal and water.",null
29,Wood is characterized by bending and straightening,曲直,mù yuē qū zhí,null,"The nature of wood is to bend and straighten as it grows. The wood element is used to express growth, bearing upwards, effusion, free flow, etc.",null
30,Fire is characterized by flaming upward,炎上,huǒ yuē yán shàng,null,"The nature of fire is to flame upwards. The fire element is used to express warmth, rising, flourishing, etc.",null
